quiz_id,user_id,score,guessed_words,ended_at,created_at,id
e245a91a-121b-4c59-875c-cd2b5eddfc44,1,400,"[{""word"":""list"",""part_of_speech"":""3333""},{""word"":""earners"",""part_of_speech"":""3333""},{""word"":""firms"",""part_of_speech"":""3333""},{""word"":""companies"",""part_of_speech"":""3333""},{""word"":""corporations"",""part_of_speech"":""3333""},{""word"":""businesses"",""part_of_speech"":""3333""},{""word"":""on"",""part_of_speech"":""1111""},{""word"":""out"",""part_of_speech"":""1111""},{""word"":""in"",""part_of_speech"":""1111""},{""word"":""the"",""part_of_speech"":""1111""},{""word"":""annual"",""part_of_speech"":""1111""},{""word"":""monthly"",""part_of_speech"":""1111""},{""word"":""seasonal"",""part_of_speech"":""1111""},{""word"":""most"",""part_of_speech"":""1111""},{""word"":""many"",""part_of_speech"":""1111""},{""word"":""2"",""part_of_speech"":""4444""},{""word"":""3"",""part_of_speech"":""4444""},{""word"":""4"",""part_of_speech"":""4444""},{""word"":""5"",""part_of_speech"":""4444""},{""word"":""6"",""part_of_speech"":""4444""},{""word"":""7"",""part_of_speech"":""4444""},{""word"":""8"",""part_of_speech"":""4444""},{""word"":""seven"",""part_of_speech"":""4444""},{""word"":""six"",""part_of_speech"":""4444""},{""word"":""five"",""part_of_speech"":""4444""},{""word"":""four"",""part_of_speech"":""4444""},{""word"":""tree"",""part_of_speech"":""4444""},{""word"":""three"",""part_of_speech"":""4444""},{""word"":""two"",""part_of_speech"":""4444""},{""word"":""one"",""part_of_speech"":""4444""},{""word"":""eight"",""part_of_speech"":""4444""},{""word"":""nine"",""part_of_speech"":""4444""},{""word"":""move"",""part_of_speech"":""6666""},{""word"":""of"",""part_of_speech"":""2222""},{""word"":""from"",""part_of_speech"":""2222""},{""word"":""at"",""part_of_speech"":""2222""}]",1773787330619,1773787329062,182
3556a812-5f08-4313-9f79-8994aed00d5c,1,400,"[{""word"":""list"",""part_of_speech"":""3333""},{""word"":""earners"",""part_of_speech"":""3333""},{""word"":""firms"",""part_of_speech"":""3333""},{""word"":""companies"",""part_of_speech"":""3333""},{""word"":""corporations"",""part_of_speech"":""3333""},{""word"":""businesses"",""part_of_speech"":""3333""},{""word"":""on"",""part_of_speech"":""1111""},{""word"":""out"",""part_of_speech"":""1111""},{""word"":""in"",""part_of_speech"":""1111""},{""word"":""the"",""part_of_speech"":""1111""},{""word"":""annual"",""part_of_speech"":""1111""},{""word"":""monthly"",""part_of_speech"":""1111""},{""word"":""seasonal"",""part_of_speech"":""1111""},{""word"":""most"",""part_of_speech"":""1111""},{""word"":""many"",""part_of_speech"":""1111""},{""word"":""2"",""part_of_speech"":""4444""},{""word"":""3"",""part_of_speech"":""4444""},{""word"":""4"",""part_of_speech"":""4444""},{""word"":""5"",""part_of_speech"":""4444""},{""word"":""6"",""part_of_speech"":""4444""},{""word"":""7"",""part_of_speech"":""4444""},{""word"":""8"",""part_of_speech"":""4444""},{""word"":""seven"",""part_of_speech"":""4444""},{""word"":""six"",""part_of_speech"":""4444""},{""word"":""five"",""part_of_speech"":""4444""},{""word"":""four"",""part_of_speech"":""4444""},{""word"":""tree"",""part_of_speech"":""4444""},{""word"":""three"",""part_of_speech"":""4444""},{""word"":""two"",""part_of_speech"":""4444""},{""word"":""one"",""part_of_speech"":""4444""},{""word"":""eight"",""part_of_speech"":""4444""},{""word"":""nine"",""part_of_speech"":""4444""},{""word"":""move"",""part_of_speech"":""6666""},{""word"":""of"",""part_of_speech"":""2222""},{""word"":""from"",""part_of_speech"":""2222""},{""word"":""at"",""part_of_speech"":""2222""}]",1773787062662,1773786881440,181
aacb0878-720a-4780-9606-aed58b729b2e,1,0,[],1773763579548,1773763579483,180
3556a812-5f08-4313-9f79-8994aed00d5c,1,0,[],1773763579363,1773763579296,179
7d9789bc-7db3-4358-b351-3b3bfb144a94,1,0,[],1773763579183,1773763579114,178
639747b9-eede-42c2-ae07-76c1976dc770,1,0,[],1773763578992,1773763578928,177
35af395e-5574-4255-bc95-b52fddd32556,1,0,[],1773763578808,1773763578450,176
f71464ff-4f28-4ff0-a124-8048ce77f6c7,1,0,[],1773763578105,1773763577806,175
a2867a06-52cf-4d38-b4fb-687de99145af,1,0,[],1773763575058,1773763574938,174
a82dddae-3233-4e1e-852b-39f835cc9f29,1,0,[],1773763552838,1773763552419,173
cbb4cf7a-94ba-4c8f-bb89-af09ad9ff4ff,8,300,"[{""word"":""a"",""part_of_speech"":""2222""},{""word"":""my"",""part_of_speech"":""2222""},{""word"":""uncovered"",""part_of_speech"":""6666""},{""word"":""revealed"",""part_of_speech"":""6666""},{""word"":""showed"",""part_of_speech"":""6666""},{""word"":""identified"",""part_of_speech"":""6666""},{""word"":""showing"",""part_of_speech"":""6666""},{""word"":""uncovering"",""part_of_speech"":""6666""},{""word"":""revealing"",""part_of_speech"":""6666""},{""word"":""environment"",""part_of_speech"":""3333""},{""word"":""pollution"",""part_of_speech"":""3333""},{""word"":""waste"",""part_of_speech"":""3333""},{""word"":""economy"",""part_of_speech"":""3333""},{""word"":""sustainability"",""part_of_speech"":""3333""},{""word"":""45"",""part_of_speech"":""4444""},{""word"":""30"",""part_of_speech"":""4444""},{""word"":""29"",""part_of_speech"":""4444""},{""word"":""25"",""part_of_speech"":""4444""},{""word"":""chemical"",""part_of_speech"":""1111""},{""word"":""domestic"",""part_of_speech"":""1111""}]",1773760069866,1773759887706,172
0dabae83-9f6b-4103-8a6f-e1782f088964,8,0,[],1773757012199,1773756830175,171
1280ed20-2028-4c01-a6f3-0937a817adcd,8,300,"[{""word"":""to"",""part_of_speech"":""2222""},{""word"":""public"",""part_of_speech"":""1111""},{""word"":""art"",""part_of_speech"":""1111""},{""word"":""historical"",""part_of_speech"":""1111""},{""word"":""legal"",""part_of_speech"":""1111""},{""word"":""organised"",""part_of_speech"":""1111""},{""word"":""high-profile"",""part_of_speech"":""1111""},{""word"":""1850"",""part_of_speech"":""4444""},{""word"":""airport"",""part_of_speech"":""3333""},{""word"":""extracted"",""part_of_speech"":""6666""},{""word"":""taken"",""part_of_speech"":""6666""},{""word"":""quai branly"",""part_of_speech"":""5555""}]",1773756808182,1773756626257,170
002fda55-233c-43c8-8e26-44f4984bafd7,8,300,"[{""word"":""on"",""part_of_speech"":""2222""},{""word"":""10"",""part_of_speech"":""4444""},{""word"":""5"",""part_of_speech"":""4444""},{""word"":""20"",""part_of_speech"":""4444""},{""word"":""30"",""part_of_speech"":""4444""},{""word"":""institute"",""part_of_speech"":""5555""},{""word"":""state"",""part_of_speech"":""1111""},{""word"":""public"",""part_of_speech"":""1111""},{""word"":""using"",""part_of_speech"":""6666""},{""word"":""deploying"",""part_of_speech"":""6666""},{""word"":""stop"",""part_of_speech"":""6666""},{""word"":""cut"",""part_of_speech"":""6666""},{""word"":""organisations"",""part_of_speech"":""3333""}]",1773756619728,1773756576242,169
09a4b28e-1a01-4cc4-9c0f-984c35179ea9,8,300,"[{""word"":""loud"",""part_of_speech"":""1111""},{""word"":""the"",""part_of_speech"":""2222""},{""word"":""all"",""part_of_speech"":""2222""},{""word"":""some"",""part_of_speech"":""2222""},{""word"":""clean"",""part_of_speech"":""6666""},{""word"":""unclutter"",""part_of_speech"":""6666""},{""word"":""centuries"",""part_of_speech"":""3333""},{""word"":""decades"",""part_of_speech"":""3333""},{""word"":""bansilalpet"",""part_of_speech"":""5555""},{""word"":""40"",""part_of_speech"":""4444""},{""word"":""50"",""part_of_speech"":""4444""},{""word"":""60"",""part_of_speech"":""4444""},{""word"":""70"",""part_of_speech"":""4444""}]",1773756432810,1773756251625,168
