participant_code,user_id,session_id,quiz_id,session_start_ms,session_start_readable,session_end_ms,session_end_readable,final_score,guess_order,guess_time_ms,guess_time_readable,guessed_word,part_of_speech,correct,score_before_guess,score_after_guess
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,2026-04-01 09:19:54.233+00,1775035231731,2026-04-01 09:20:31.731+00,100,6,1775035213197,2026-04-01 09:20:13.197+00,6,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,2026-04-01 09:19:54.233+00,1775035231731,2026-04-01 09:20:31.731+00,100,7,1775035213350,2026-04-01 09:20:13.35+00,7,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,2026-04-01 09:19:54.233+00,1775035231731,2026-04-01 09:20:31.731+00,100,8,1775035213728,2026-04-01 09:20:13.728+00,8,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,2026-04-01 09:19:54.233+00,1775035231731,2026-04-01 09:20:31.731+00,100,9,1775035213923,2026-04-01 09:20:13.923+00,9,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,2026-04-01 09:19:54.233+00,1775035231731,2026-04-01 09:20:31.731+00,100,10,1775035221112,2026-04-01 09:20:21.112+00,increase,6666,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,2026-04-01 09:19:54.233+00,1775035231731,2026-04-01 09:20:31.731+00,100,11,1775035223579,2026-04-01 09:20:23.579+00,change,6666,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,2026-04-01 09:19:54.233+00,1775035231731,2026-04-01 09:20:31.731+00,100,12,1775035230575,2026-04-01 09:20:30.575+00,improve,6666,f,100,100
YQTRENXV,18,286,7ca06908-1bd4-4410-a6de-6fa6cbbc8864,1775057348136,2026-04-01 15:29:08.136+00,1775057384226,2026-04-01 15:29:44.226+00,100,1,1775057375796,2026-04-01 15:29:35.796+00,in,1111,t,0,100
YQTRENXV,18,288,96a3dab8-d132-4da3-a76a-1ac6f2459208,1775057644728,2026-04-01 15:34:04.728+00,1775057766185,2026-04-01 15:36:06.185+00,0,1,1775057650794,2026-04-01 15:34:10.794+00,joker,5555,f,0,0
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,1,1775141184434,2026-04-02 14:46:24.434+00,on,2222,t,0,100
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,2,1775141190421,2026-04-02 14:46:30.421+00,greater,1111,f,100,100
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,3,1775141192808,2026-04-02 14:46:32.808+00,increased,1111,f,100,100
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,4,1775141195986,2026-04-02 14:46:35.986+00,armed,1111,f,100,100
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,5,1775141205294,2026-04-02 14:46:45.294+00,implementing,6666,t,100,200
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,6,1775141209492,2026-04-02 14:46:49.492+00,department,5555,f,200,200
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,7,1775141211554,2026-04-02 14:46:51.554+00,institute,5555,t,200,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,8,1775141219626,2026-04-02 14:46:59.626+00,two,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,9,1775141220452,2026-04-02 14:47:00.452+00,three,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,10,1775141221346,2026-04-02 14:47:01.346+00,four,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,11,1775141224053,2026-04-02 14:47:04.053+00,five,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,12,1775141225073,2026-04-02 14:47:05.073+00,six,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,13,1775141226316,2026-04-02 14:47:06.316+00,seven,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,14,1775141227969,2026-04-02 14:47:07.969+00,eight,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,15,1775141229122,2026-04-02 14:47:09.122+00,3,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,16,1775141229367,2026-04-02 14:47:09.367+00,4,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,17,1775141229677,2026-04-02 14:47:09.677+00,5,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,18,1775141229891,2026-04-02 14:47:09.891+00,6,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,19,1775141230121,2026-04-02 14:47:10.121+00,7,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,20,1775141230515,2026-04-02 14:47:10.515+00,8,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,21,1775141230986,2026-04-02 14:47:10.986+00,9,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,22,1775141231594,2026-04-02 14:47:11.594+00,0,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,23,1775141232834,2026-04-02 14:47:12.834+00,10,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,24,1775141233556,2026-04-02 14:47:13.556+00,1,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,25,1775141234517,2026-04-02 14:47:14.517+00,12,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,26,1775141239966,2026-04-02 14:47:19.966+00,some,4444,f,300,300
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,27,1775141260138,2026-04-02 14:47:40.138+00,experts,3333,t,300,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,28,1775141276350,2026-04-02 14:47:56.35+00,more,1111,f,400,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,29,1775141278381,2026-04-02 14:47:58.381+00,such,1111,f,400,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,30,1775141279544,2026-04-02 14:47:59.544+00,this,1111,f,400,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,31,1775141285105,2026-04-02 14:48:05.105+00,dangerous,1111,f,400,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,32,1775141286845,2026-04-02 14:48:06.845+00,violent,1111,f,400,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,33,1775141289421,2026-04-02 14:48:09.421+00,military,1111,f,400,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,34,1775141294816,2026-04-02 14:48:14.816+00,domestic,1111,f,400,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,35,1775141298045,2026-04-02 14:48:18.045+00,home,1111,f,400,400
,1,289,0dabae83-9f6b-4103-8a6f-e1782f088964,1775141181010,2026-04-02 14:46:21.01+00,1775141303400,2026-04-02 14:48:23.4+00,500,36,1775141300777,2026-04-02 14:48:20.777+00,national,1111,t,400,500
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,1,1775265896440,2026-04-04 01:24:56.44+00,one,4444,t,0,100
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,2,1775265914465,2026-04-04 01:25:14.465+00,arrested,6666,t,100,200
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,3,1775265921777,2026-04-04 01:25:21.777+00,tonnes,3333,t,200,300
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,4,1775265928034,2026-04-04 01:25:28.034+00,state,1111,f,300,300
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,5,1775265932014,2026-04-04 01:25:32.014+00,legal,1111,f,300,300
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,6,1775265938885,2026-04-04 01:25:38.885+00,in,2222,t,300,400
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,7,1775265944803,2026-04-04 01:25:44.803+00,us,5555,t,400,500
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,8,1775265950883,2026-04-04 01:25:50.883+00,local,1111,f,500,500
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,9,1775265970043,2026-04-04 01:26:10.043+00,former,1111,f,500,500
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,10,1775265972615,2026-04-04 01:26:12.615+00,current,1111,f,500,500
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,11,1775265975532,2026-04-04 01:26:15.532+00,national,1111,f,500,500
YG6UT7GW,19,291,aacb0878-720a-4780-9606-aed58b729b2e,1775265886416,2026-04-04 01:24:46.416+00,1775265983610,2026-04-04 01:26:23.61+00,500,12,1775265981208,2026-04-04 01:26:21.208+00,prominent,1111,f,500,500
