id,user_id,score,created_at,ended_at,adj_correct,adj_guesses,adj_score_before_guess,func_correct,func_guesses,func_score_before_guess,noun_correct,noun_guesses,noun_score_before_guess,num_correct,num_guesses,num_score_before_guess,propn_correct,propn_guesses,propn_score_before_guess,verb_correct,verb_guesses,verb_score_before_guess,guessed_words
226,1,0,1774433942311,1774434003674,0,,,0,,,0,,,0,,,0,,,0,,,[]
225,1,0,1774403262526,1774403265450,0,,,0,,,0,,,0,,,0,,,0,,,[]
224,1,0,1774403000307,1774403002269,0,,,0,,,0,,,0,,,0,,,0,,,[]
223,1,0,1774402789275,1774402789778,0,,,0,,,0,,,0,,,0,,,0,,,[]
222,1,0,1774402787905,1774402788451,0,,,0,,,0,,,0,,,0,,,0,,,[]
221,1,0,1774402785984,1774402786864,0,,,0,,,0,,,0,,,0,,,0,,,[]
220,1,0,1774402762429,1774402763423,0,,,0,,,0,,,0,,,0,,,0,,,[]
219,1,0,1774402757515,1774402759501,0,,,0,,,0,,,0,,,0,,,0,,,[]
218,1,0,1774401648659,1774401652689,0,,,0,,,0,,,0,,,0,,,0,,,[]
217,14,0,1774401028733,1774401029681,0,,,0,,,0,,,0,,,0,,,0,,,[]
216,14,0,1774400719179,1774400721120,0,,,0,,,0,,,0,,,0,,,0,,,[]
215,14,0,1774400539566,1774400541525,0,,,0,,,0,,,0,,,0,,,0,,,[]
214,14,0,1774400532407,1774400534783,0,,,0,,,0,,,0,,,0,,,0,,,[]
213,14,0,1774400498244,1774400501293,0,,,0,,,0,,,0,,,0,,,0,,,[]
212,14,0,1774400407173,1774400409149,0,,,0,,,0,,,0,,,0,,,0,,,[]
211,14,0,1774400294185,1774400295555,0,,,0,,,0,,,0,,,0,,,0,,,[]
210,9,0,1773794716221,1773794717741,0,,,0,,,0,,,0,,,0,,,0,,,[]
209,9,0,1773794250935,1773794252334,0,,,0,,,0,,,0,,,0,,,0,,,[]
208,9,0,1773793939433,1773793941277,0,,,0,,,0,,,0,,,0,,,0,,,[]
207,1,0,1773793765954,1773793767310,0,,,0,,,0,,,0,,,0,,,0,,,[]
206,1,0,1773793458962,1773793460227,0,,,0,,,0,,,0,,,0,,,0,,,[]
205,1,0,1773793375366,1773793376839,0,,,0,,,0,,,0,,,0,,,0,,,[]
204,1,0,1773793335952,1773793337496,0,,,0,,,0,,,0,,,0,,,0,,,[]
203,1,0,1773793055739,1773793056930,0,,,0,,,0,,,0,,,0,,,0,,,[]
202,1,0,1773793044895,1773793045961,0,,,0,,,0,,,0,,,0,,,0,,,[]
201,1,0,1773793032111,1773793033340,0,,,0,,,0,,,0,,,0,,,0,,,[]
200,1,0,1773791156692,1773791157468,0,,,0,,,0,,,0,,,0,,,0,,,[]
199,1,0,1773790626463,1773790806170,0,,,0,,,0,,,0,,,0,,,0,,,[]
198,1,0,1773790731775,1773790733867,0,,,0,,,0,,,0,,,0,,,0,,,[]
197,1,0,1773790625014,1773790626361,0,,,0,,,0,,,0,,,0,,,0,,,[]
196,1,0,1773790619863,1773790620592,0,,,0,,,0,,,0,,,0,,,0,,,[]
195,1,0,1773790613718,1773790614971,0,,,0,,,0,,,0,,,0,,,0,,,[]
194,1,100,1773790494429,1773790554588,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""to"", ""part_of_speech"": ""2222""}, {""word"": ""mining"", ""part_of_speech"": ""6666""}, {""word"": ""selling"", ""part_of_speech"": ""6666""}, {""word"": ""buying"", ""part_of_speech"": ""6666""}, {""word"": ""distributing"", ""part_of_speech"": ""6666""}, {""word"": ""year"", ""part_of_speech"": ""3333""}, {""word"": ""month"", ""part_of_speech"": ""3333""}, {""word"": ""all"", ""part_of_speech"": ""1111""}, {""word"": ""\\us"", ""part_of_speech"": ""1111""}, {""word"": ""u.s"", ""part_of_speech"": ""1111""}, {""word"": ""american"", ""part_of_speech"": ""1111""}]"
193,1,0,1773788905041,1773788906567,0,,,0,,,0,,,0,,,0,,,0,,,[]
192,1,0,1773788771560,1773788772542,0,,,0,,,0,,,0,,,0,,,0,,,[]
191,1,0,1773788766068,1773788768222,0,,,0,,,0,,,0,,,0,,,0,,,[]
190,1,0,1773788764823,1773788766028,0,,,0,,,0,,,0,,,0,,,0,,,[]
189,1,0,1773788562401,1773788743820,0,,,0,,,0,,,0,,,0,,,0,,,[]
188,1,0,1773788561282,1773788562361,0,,,0,,,0,,,0,,,0,,,0,,,[]
187,1,0,1773788516664,1773788519783,0,,,0,,,0,,,0,,,0,,,0,,,[]
186,1,400,1773788152571,1773788333189,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""told"", ""part_of_speech"": ""6666""}, {""word"": ""held"", ""part_of_speech"": ""6666""}, {""word"": ""women"", ""part_of_speech"": ""3333""}, {""word"": ""decisive"", ""part_of_speech"": ""1111""}, {""word"": ""promising"", ""part_of_speech"": ""1111""}, {""word"": ""in"", ""part_of_speech"": ""2222""}, {""word"": ""security"", ""part_of_speech"": ""5555""}, {""word"": ""safety"", ""part_of_speech"": ""5555""}, {""word"": ""state"", ""part_of_speech"": ""5555""}, {""word"": ""status"", ""part_of_speech"": ""5555""}]"
185,1,300,1773788151540,1773788152432,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""on"", ""part_of_speech"": ""2222""}, {""word"": ""large"", ""part_of_speech"": ""1111""}, {""word"": ""small"", ""part_of_speech"": ""1111""}, {""word"": ""ma"", ""part_of_speech"": ""1111""}, {""word"": ""lightly"", ""part_of_speech"": ""1111""}, {""word"": ""february"", ""part_of_speech"": ""5555""}, {""word"": ""march"", ""part_of_speech"": ""5555""}, {""word"": ""apri;l"", ""part_of_speech"": ""5555""}, {""word"": ""april"", ""part_of_speech"": ""5555""}, {""word"": ""heading"", ""part_of_speech"": ""6666""}, {""word"": ""closer"", ""part_of_speech"": ""6666""}, {""word"": ""aiming"", ""part_of_speech"": ""6666""}, {""word"": ""striving"", ""part_of_speech"": ""6666""}, {""word"": ""headed"", ""part_of_speech"": ""6666""}, {""word"": ""news"", ""part_of_speech"": ""3333""}, {""word"": ""press"", ""part_of_speech"": ""3333""}]"
184,1,300,1773787982970,1773788074515,0,,,0,,,0,,,0,,,0,,,0,,,"[{""word"": ""on"", ""part_of_speech"": ""2222""}, {""word"": ""large"", ""part_of_speech"": ""1111""}, {""word"": ""small"", ""part_of_speech"": ""1111""}, {""word"": ""ma"", ""part_of_speech"": ""1111""}, {""word"": ""lightly"", ""part_of_speech"": ""1111""}, {""word"": ""february"", ""part_of_speech"": ""5555""}, {""word"": ""march"", ""part_of_speech"": ""5555""}, {""word"": ""apri;l"", ""part_of_speech"": ""5555""}, {""word"": ""april"", ""part_of_speech"": ""5555""}, {""word"": ""heading"", ""part_of_speech"": ""6666""}, {""word"": ""closer"", ""part_of_speech"": ""6666""}, {""word"": ""aiming"", ""part_of_speech"": ""6666""}, {""word"": ""striving"", ""part_of_speech"": ""6666""}, {""word"": ""headed"", ""part_of_speech"": ""6666""}, {""word"": ""news"", ""part_of_speech"": ""3333""}, {""word"": ""press"", ""part_of_speech"": ""3333""}]"
