participant_code,user_id,session_id,quiz_id,session_start_ms,session_start_readable,session_end_ms,session_end_readable,final_score,guess_order,guess_time_ms,guess_time_readable,guessed_word,part_of_speech,correct,score_before_guess,score_after_guess
77beead1-b563-46df-9247-5cdef7978c97,2,333,e245a91a-121b-4c59-875c-cd2b5eddfc44,1775596612624,Tue Apr 07 2026 21:16:52 GMT+0200 (heure d’été d’Europe centrale),1775596689213,Tue Apr 07 2026 21:18:09 GMT+0200 (heure d’été d’Europe centrale),100,8,1775596670827,Tue Apr 07 2026 21:17:50 GMT+0200 (heure d’été d’Europe centrale),two,4444,false,0,0
77beead1-b563-46df-9247-5cdef7978c97,2,333,e245a91a-121b-4c59-875c-cd2b5eddfc44,1775596612624,Tue Apr 07 2026 21:16:52 GMT+0200 (heure d’été d’Europe centrale),1775596689213,Tue Apr 07 2026 21:18:09 GMT+0200 (heure d’été d’Europe centrale),100,7,1775596667886,Tue Apr 07 2026 21:17:47 GMT+0200 (heure d’été d’Europe centrale),one,4444,false,0,0
77beead1-b563-46df-9247-5cdef7978c97,2,333,e245a91a-121b-4c59-875c-cd2b5eddfc44,1775596612624,Tue Apr 07 2026 21:16:52 GMT+0200 (heure d’été d’Europe centrale),1775596689213,Tue Apr 07 2026 21:18:09 GMT+0200 (heure d’été d’Europe centrale),100,6,1775596665802,Tue Apr 07 2026 21:17:45 GMT+0200 (heure d’été d’Europe centrale),1,4444,false,0,0
77beead1-b563-46df-9247-5cdef7978c97,2,333,e245a91a-121b-4c59-875c-cd2b5eddfc44,1775596612624,Tue Apr 07 2026 21:16:52 GMT+0200 (heure d’été d’Europe centrale),1775596689213,Tue Apr 07 2026 21:18:09 GMT+0200 (heure d’été d’Europe centrale),100,5,1775596663379,Tue Apr 07 2026 21:17:43 GMT+0200 (heure d’été d’Europe centrale),2,4444,false,0,0
77beead1-b563-46df-9247-5cdef7978c97,2,333,e245a91a-121b-4c59-875c-cd2b5eddfc44,1775596612624,Tue Apr 07 2026 21:16:52 GMT+0200 (heure d’été d’Europe centrale),1775596689213,Tue Apr 07 2026 21:18:09 GMT+0200 (heure d’été d’Europe centrale),100,4,1775596661059,Tue Apr 07 2026 21:17:41 GMT+0200 (heure d’été d’Europe centrale),3,4444,false,0,0
77beead1-b563-46df-9247-5cdef7978c97,2,333,e245a91a-121b-4c59-875c-cd2b5eddfc44,1775596612624,Tue Apr 07 2026 21:16:52 GMT+0200 (heure d’été d’Europe centrale),1775596689213,Tue Apr 07 2026 21:18:09 GMT+0200 (heure d’été d’Europe centrale),100,3,1775596658835,Tue Apr 07 2026 21:17:38 GMT+0200 (heure d’été d’Europe centrale),4,4444,false,0,0
77beead1-b563-46df-9247-5cdef7978c97,2,333,e245a91a-121b-4c59-875c-cd2b5eddfc44,1775596612624,Tue Apr 07 2026 21:16:52 GMT+0200 (heure d’été d’Europe centrale),1775596689213,Tue Apr 07 2026 21:18:09 GMT+0200 (heure d’été d’Europe centrale),100,2,1775596637612,Tue Apr 07 2026 21:17:17 GMT+0200 (heure d’été d’Europe centrale),wore,6666,false,0,0
77beead1-b563-46df-9247-5cdef7978c97,2,333,e245a91a-121b-4c59-875c-cd2b5eddfc44,1775596612624,Tue Apr 07 2026 21:16:52 GMT+0200 (heure d’été d’Europe centrale),1775596689213,Tue Apr 07 2026 21:18:09 GMT+0200 (heure d’été d’Europe centrale),100,1,1775596632758,Tue Apr 07 2026 21:17:12 GMT+0200 (heure d’été d’Europe centrale),put,6666,false,0,0
a0ecba5e-8414-4b27-8f8a-9afd16aa3bd2,26,331,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775596302681,Tue Apr 07 2026 21:11:42 GMT+0200 (heure d’été d’Europe centrale),1775596333136,Tue Apr 07 2026 21:12:13 GMT+0200 (heure d’été d’Europe centrale),100,8,1775596331190,Tue Apr 07 2026 21:12:11 GMT+0200 (heure d’été d’Europe centrale),1996,4444,true,0,100
a0ecba5e-8414-4b27-8f8a-9afd16aa3bd2,26,331,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775596302681,Tue Apr 07 2026 21:11:42 GMT+0200 (heure d’été d’Europe centrale),1775596333136,Tue Apr 07 2026 21:12:13 GMT+0200 (heure d’été d’Europe centrale),100,7,1775596329651,Tue Apr 07 2026 21:12:09 GMT+0200 (heure d’été d’Europe centrale),1007,4444,false,0,0
